,loss,mae,lr,l2
0,0.004805809818208218,0.07241570949554443,0.001,0.0001
1,0.004814669489860535,0.07150678336620331,0.000889,8.88889e-05
2,0.004662189166992903,0.06708350777626038,0.000778,7.77778e-05
3,0.004859662149101496,0.06961838155984879,0.000667,6.66667e-05
4,0.004986965097486973,0.07269103825092316,0.000556,5.55556e-05
5,0.004581279121339321,0.0665302574634552,0.000445,4.44445e-05
6,0.0043149059638381,0.06260756403207779,0.0003339999999999999,3.33334e-05
7,0.004885554313659668,0.06826221942901611,0.0002229999999999999,2.22223e-05
8,0.004871740005910397,0.07227779179811478,0.0001119999999999999,1.1111199999999996e-05
9,0.006555864121764898,0.08720755577087402,1e-06,1e-10
